task,condition,reward,metric,mean,count
safe_risky_choice,baseline,10,choice_risky,0.0,40
safe_risky_choice,baseline,15,choice_risky,0.0,40
safe_risky_choice,baseline,20,choice_risky,0.0,40
safe_risky_choice,baseline,25,choice_risky,0.0,40
safe_risky_choice,baseline,30,choice_risky,0.0,40
safe_risky_choice,baseline,35,choice_risky,0.0,40
safe_risky_choice,baseline,40,choice_risky,0.0,40
safe_risky_choice,baseline,45,choice_risky,0.0,40
safe_risky_choice,baseline,50,choice_risky,0.0,40
safe_risky_choice,baseline,55,choice_risky,0.025,40
safe_risky_choice,baseline,60,choice_risky,0.0,40
safe_risky_choice,baseline,65,choice_risky,0.0,40
safe_risky_choice,baseline,70,choice_risky,0.0,40
safe_risky_choice,baseline,75,choice_risky,0.0,40
safe_risky_choice,baseline,80,choice_risky,0.0,40
safe_risky_choice,baseline,85,choice_risky,0.0,40
safe_risky_choice,baseline,90,choice_risky,0.0,40
safe_risky_choice,baseline,95,choice_risky,0.0,40
safe_risky_choice,baseline,100,choice_risky,0.0,40
safe_risky_choice,baseline,105,choice_risky,0.875,40
safe_risky_choice,baseline,110,choice_risky,0.925,40
safe_risky_choice,baseline,115,choice_risky,0.95,40
safe_risky_choice,baseline,120,choice_risky,0.925,40
safe_risky_choice,baseline,125,choice_risky,0.95,40
safe_risky_choice,baseline,130,choice_risky,0.95,40
safe_risky_choice,baseline,135,choice_risky,0.95,40
safe_risky_choice,baseline,140,choice_risky,0.875,40
safe_risky_choice,baseline,145,choice_risky,0.95,40
safe_risky_choice,baseline,150,choice_risky,0.975,40
safe_risky_choice,baseline,155,choice_risky,0.95,40
safe_risky_choice,baseline,160,choice_risky,0.95,40
safe_risky_choice,baseline,165,choice_risky,1.0,40
safe_risky_choice,baseline,170,choice_risky,1.0,40
safe_risky_choice,baseline,175,choice_risky,0.925,40
safe_risky_choice,baseline,180,choice_risky,0.975,40
safe_risky_choice,cot,10,choice_risky,0.0,40
safe_risky_choice,cot,15,choice_risky,0.0,40
safe_risky_choice,cot,20,choice_risky,0.0,40
safe_risky_choice,cot,25,choice_risky,0.0,40
safe_risky_choice,cot,30,choice_risky,0.0,40
safe_risky_choice,cot,35,choice_risky,0.025,40
safe_risky_choice,cot,40,choice_risky,0.0,40
safe_risky_choice,cot,45,choice_risky,0.0,40
safe_risky_choice,cot,50,choice_risky,0.0,40
safe_risky_choice,cot,55,choice_risky,0.35,40
safe_risky_choice,cot,60,choice_risky,0.0,40
safe_risky_choice,cot,65,choice_risky,0.075,40
safe_risky_choice,cot,70,choice_risky,0.0,40
safe_risky_choice,cot,75,choice_risky,0.1,40
safe_risky_choice,cot,80,choice_risky,0.0,40
safe_risky_choice,cot,85,choice_risky,0.025,40
safe_risky_choice,cot,90,choice_risky,0.0,40
safe_risky_choice,cot,95,choice_risky,0.0,40
safe_risky_choice,cot,100,choice_risky,0.0,40
safe_risky_choice,cot,105,choice_risky,0.05,40
safe_risky_choice,cot,110,choice_risky,0.425,40
safe_risky_choice,cot,115,choice_risky,0.125,40
safe_risky_choice,cot,120,choice_risky,0.3,40
safe_risky_choice,cot,125,choice_risky,0.3,40
safe_risky_choice,cot,130,choice_risky,0.275,40
safe_risky_choice,cot,135,choice_risky,0.4,40
safe_risky_choice,cot,140,choice_risky,0.5,40
safe_risky_choice,cot,145,choice_risky,0.35,40
safe_risky_choice,cot,150,choice_risky,0.175,40
safe_risky_choice,cot,155,choice_risky,0.4,40
safe_risky_choice,cot,160,choice_risky,0.325,40
safe_risky_choice,cot,165,choice_risky,0.525,40
safe_risky_choice,cot,170,choice_risky,0.45,40
safe_risky_choice,cot,175,choice_risky,0.4,40
safe_risky_choice,cot,180,choice_risky,0.35,40
safe_risky_choice,fewshot,10,choice_risky,0.0,40
safe_risky_choice,fewshot,15,choice_risky,0.0,40
safe_risky_choice,fewshot,20,choice_risky,0.0,40
safe_risky_choice,fewshot,25,choice_risky,0.0,40
safe_risky_choice,fewshot,30,choice_risky,0.0,40
safe_risky_choice,fewshot,35,choice_risky,0.0,40
safe_risky_choice,fewshot,40,choice_risky,0.0,40
safe_risky_choice,fewshot,45,choice_risky,0.0,40
safe_risky_choice,fewshot,50,choice_risky,0.0,40
safe_risky_choice,fewshot,55,choice_risky,0.0,40
