task,condition,reward,metric,mean,count
ultimatum_response,baseline,10,accept_offer,0.775,40
ultimatum_response,baseline,15,accept_offer,0.8,40
ultimatum_response,baseline,20,accept_offer,0.925,40
ultimatum_response,baseline,25,accept_offer,0.95,40
ultimatum_response,baseline,30,accept_offer,0.975,40
ultimatum_response,baseline,35,accept_offer,0.975,40
ultimatum_response,baseline,40,accept_offer,1.0,40
ultimatum_response,baseline,45,accept_offer,1.0,40
ultimatum_response,baseline,50,accept_offer,1.0,40
ultimatum_response,baseline,55,accept_offer,1.0,40
ultimatum_response,baseline,60,accept_offer,1.0,40
ultimatum_response,baseline,65,accept_offer,1.0,40
ultimatum_response,baseline,70,accept_offer,0.95,40
ultimatum_response,baseline,75,accept_offer,1.0,40
ultimatum_response,baseline,80,accept_offer,1.0,40
ultimatum_response,baseline,85,accept_offer,0.95,40
ultimatum_response,baseline,90,accept_offer,0.85,40
ultimatum_response,cot,10,accept_offer,0.575,40
ultimatum_response,cot,15,accept_offer,0.8,40
ultimatum_response,cot,20,accept_offer,0.85,40
ultimatum_response,cot,25,accept_offer,0.9,40
ultimatum_response,cot,30,accept_offer,0.975,40
ultimatum_response,cot,35,accept_offer,1.0,40
ultimatum_response,cot,40,accept_offer,0.95,40
ultimatum_response,cot,45,accept_offer,1.0,40
ultimatum_response,cot,50,accept_offer,1.0,40
ultimatum_response,cot,55,accept_offer,1.0,40
ultimatum_response,cot,60,accept_offer,1.0,40
ultimatum_response,cot,65,accept_offer,1.0,40
ultimatum_response,cot,70,accept_offer,1.0,40
ultimatum_response,cot,75,accept_offer,1.0,40
ultimatum_response,cot,80,accept_offer,1.0,40
ultimatum_response,cot,85,accept_offer,1.0,40
ultimatum_response,cot,90,accept_offer,1.0,40
ultimatum_response,fewshot,10,accept_offer,0.3,40
ultimatum_response,fewshot,15,accept_offer,0.75,40
ultimatum_response,fewshot,20,accept_offer,0.8,40
ultimatum_response,fewshot,25,accept_offer,0.95,40
ultimatum_response,fewshot,30,accept_offer,0.975,40
ultimatum_response,fewshot,35,accept_offer,1.0,40
ultimatum_response,fewshot,40,accept_offer,1.0,40
ultimatum_response,fewshot,45,accept_offer,1.0,40
ultimatum_response,fewshot,50,accept_offer,1.0,40
ultimatum_response,fewshot,55,accept_offer,1.0,40
ultimatum_response,fewshot,60,accept_offer,1.0,40
ultimatum_response,fewshot,65,accept_offer,1.0,40
ultimatum_response,fewshot,70,accept_offer,1.0,40
ultimatum_response,fewshot,75,accept_offer,1.0,40
ultimatum_response,fewshot,80,accept_offer,1.0,40
ultimatum_response,fewshot,85,accept_offer,1.0,40
ultimatum_response,fewshot,90,accept_offer,1.0,40
ultimatum_response,fewshot_cot_dose000,10,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose000,15,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose000,20,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose000,25,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose000,30,accept_offer,0.025,40
ultimatum_response,fewshot_cot_dose000,35,accept_offer,0.025,40
ultimatum_response,fewshot_cot_dose000,40,accept_offer,0.5,40
ultimatum_response,fewshot_cot_dose000,45,accept_offer,0.475,40
ultimatum_response,fewshot_cot_dose000,50,accept_offer,1.0,40
ultimatum_response,fewshot_cot_dose000,55,accept_offer,1.0,40
ultimatum_response,fewshot_cot_dose000,60,accept_offer,1.0,40
ultimatum_response,fewshot_cot_dose000,65,accept_offer,0.85,40
ultimatum_response,fewshot_cot_dose000,70,accept_offer,0.85,40
ultimatum_response,fewshot_cot_dose000,75,accept_offer,0.925,40
ultimatum_response,fewshot_cot_dose000,80,accept_offer,0.85,40
ultimatum_response,fewshot_cot_dose000,85,accept_offer,0.625,40
ultimatum_response,fewshot_cot_dose000,90,accept_offer,0.725,40
ultimatum_response,fewshot_cot_dose025,10,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose025,15,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose025,20,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose025,25,accept_offer,0.05,40
ultimatum_response,fewshot_cot_dose025,30,accept_offer,0.0,40
ultimatum_response,fewshot_cot_dose025,35,accept_offer,0.1,40
ultimatum_response,fewshot_cot_dose025,40,accept_offer,0.9,40
