target,scope,dose,seed,feature,decoder_coefficient_at_selected_dose,cosine_to_readout
combined,all,16.0,31,30498,5.400822162628174,0.026709500700235367
combined,all,16.0,31,60415,5.5502119064331055,0.056993789970874786
combined,all,16.0,31,17838,-0.6374236941337585,0.06822274625301361
combined,all,16.0,31,62440,-6.192623615264893,-0.044546112418174744
combined,all,16.0,31,23671,-8.422649383544922,0.0020720940083265305
combined,all,16.0,31,33404,8.423562049865723,0.05265919491648674
combined,all,16.0,31,15307,3.7454490661621094,0.04720905050635338
combined,all,16.0,31,38516,-1.1320518255233765,0.02106650359928608
combined,all,16.0,31,55751,-0.45512959361076355,0.004028080031275749
combined,all,16.0,31,47503,-1.220158576965332,0.07667230814695358
combined,all,16.0,73,30498,4.785219669342041,0.026709500700235367
combined,all,16.0,73,60415,3.1785547733306885,0.056993789970874786
combined,all,16.0,73,17838,0.23084256052970886,0.06822274625301361
combined,all,16.0,73,62440,-8.28719711303711,-0.044546112418174744
combined,all,16.0,73,23671,-6.382091522216797,0.0020720940083265305
combined,all,16.0,73,33404,10.376751899719238,0.05265919491648674
combined,all,16.0,73,15307,3.1751558780670166,0.04720905050635338
combined,all,16.0,73,38516,-2.2982754707336426,0.02106650359928608
combined,all,16.0,73,55751,-0.9705520272254944,0.004028080031275749
combined,all,16.0,73,47503,0.20510345697402954,0.07667230814695358
neutral,all,16.0,31,30498,4.8312530517578125,0.026709500700235367
neutral,all,16.0,31,60415,4.235474109649658,0.056993789970874786
neutral,all,16.0,31,17838,-1.2142550945281982,0.06822274625301361
neutral,all,16.0,31,23671,1.771028757095337,0.0020720940083265305
neutral,all,16.0,31,62440,-8.895270347595215,-0.044546112418174744
neutral,all,16.0,31,15307,2.6414144039154053,0.04720905050635338
neutral,all,16.0,31,33404,11.7999849319458,0.05265919491648674
neutral,all,16.0,31,38516,-0.4346587061882019,0.02106650359928608
neutral,all,16.0,31,47503,0.6759482026100159,0.07667230814695358
neutral,all,16.0,31,55751,-0.9026119709014893,0.004028080031275749
neutral,all,16.0,73,30498,4.10781717300415,0.026709500700235367
neutral,all,16.0,73,60415,4.878656387329102,0.056993789970874786
neutral,all,16.0,73,17838,-1.3006654977798462,0.06822274625301361
neutral,all,16.0,73,23671,3.5585670471191406,0.0020720940083265305
neutral,all,16.0,73,62440,-7.089273929595947,-0.044546112418174744
neutral,all,16.0,73,15307,2.7280075550079346,0.04720905050635338
neutral,all,16.0,73,33404,12.103541374206543,0.05265919491648674
neutral,all,16.0,73,38516,-0.39938420057296753,0.02106650359928608
neutral,all,16.0,73,47503,1.2506238222122192,0.07667230814695358
neutral,all,16.0,73,55751,-0.8729836940765381,0.004028080031275749
