condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,fit_rmse,converged,boundary_parameters,label_gap,min_answer_mass,layer,answer_mass_below_0_95_count,max_relative_norm_error,requested_norm,scale_family,cosine_readout,cosine_persona,planted_probability_rmse,cpt_predictive_rmse,action_predictive_rmse
baseline,0.5042392143119182,1.5,0.3,9.49778632917947,-1.287713737896933,0.30218934918782525,True,"weighting,loss_aversion",0.24348050216910078,0.5001226663589478,,31,,,,,,,0.31631052136990934,1.932926961091666e-08
combined_mean_delta_fitted_magnitude,0.5222241251572659,1.1819005389705075,0.6690018540777387,3.836824830196803,0.2673155363525238,0.1619892993523889,True,,0.12542721330505124,0.9998393654823303,50,0,0.0001301868451324406,7.06171178817749,discovery_fitted_magnitude,0.067726269364357,-0.0030859513208270073,0.22440421972048233,0.17347608483773236,0.20393287786462758
combined_mean_delta_sign+1,0.512331169315316,1.5,0.3,8.842496274615655,-0.9431138650182025,0.30494370738459253,True,"weighting,loss_aversion",0.2064013252770261,0.9712649583816528,50,0,0.0007693766630438859,1.0,common_norm,0.067726269364357,-0.0030859513208270073,0.40505159594024476,0.319476619715127,0.03509827076157652
combined_mean_delta_sign-1,0.4958441383370901,1.5,0.3,9.62883672784572,-1.4866576862894623,0.30475131193022065,True,"weighting,loss_aversion",0.2844443269669221,0.012578249908983707,50,58,0.0007777213123176807,1.0,common_norm,0.067726269364357,-0.0030859513208270073,,0.31563920384562555,0.026281945200895974
combined_sae_preference_k10_fitted_magnitude,0.5075135423868662,1.494623012975726,0.3,8.708298556449568,-0.8921189596432327,0.3154618545192402,True,loss_aversion,0.2061451891372434,0.9542624950408936,50,0,0.0006128610532636358,1.6239869594573975,discovery_fitted_magnitude,0.03712218254804611,0.05335883051156998,0.41176352876340166,0.3296190017122157,0.05136601740170859
combined_sae_preference_k10_sign+1,0.5086053151541189,1.5,0.3,9.069435389283129,-1.0393806402121568,0.3089739043171611,True,"weighting,loss_aversion",0.21776227204004753,0.9052268266677856,50,4,0.0016211271286010742,1.0,common_norm,0.03712218254804611,0.05335883051156998,0.4138597872323156,0.3229509724384171,0.029876907369263118
combined_sae_preference_k10_sign-1,0.4969671141005878,1.5,0.3,9.63079551922879,-1.482746785420737,0.3003336910191289,True,"weighting,loss_aversion",0.28181671326897856,0.025294331833720207,50,68,0.0017857551574707031,1.0,common_norm,0.03712218254804611,0.05335883051156998,,0.3117930487652939,0.02033581944516602
combined_sae_preference_k1_fitted_magnitude,0.5031158965841094,1.5,0.3,9.560286933153371,-1.3511824983318996,0.3019515478762288,True,"weighting,loss_aversion",0.2531498327417048,0.7502995133399963,50,18,0.001648638870713759,0.7865270376205444,discovery_fitted_magnitude,-0.0075590480118989944,-0.0002336893230676651,0.42510926579998864,0.31567122038097567,0.010445566308403023
combined_sae_preference_k1_sign+1,0.503163883043755,1.5,0.3,9.547647967345279,-1.3580831858302769,0.30188855629846756,True,"weighting,loss_aversion",0.25513012822263137,0.7687746286392212,50,14,0.0011867284774780273,1.0,common_norm,-0.0075590480118989944,-0.0002336893230676651,0.4248080722944618,0.3152861519811104,0.012738451502729734
combined_sae_preference_k1_sign-1,0.5070567646594362,1.5,0.3,9.330397498452022,-1.20093975640321,0.3048767322621813,True,"weighting,loss_aversion",0.23444451675002279,0.21824461221694946,50,49,0.0012292861938476562,1.0,common_norm,-0.0075590480118989944,-0.0002336893230676651,,0.3191504940616507,0.016011529210138122
combined_sae_preference_k3_fitted_magnitude,0.5090954291428728,1.5,0.3,9.166047051797824,-1.024641353329012,0.3122838506891826,True,"weighting,loss_aversion",0.214128099950932,0.8810572028160095,50,3,0.0010141790972351128,1.1054884195327759,discovery_fitted_magnitude,0.004857169464230537,0.04903124272823334,0.41409658918179854,0.3260634151935104,0.026010423395468784
combined_sae_preference_k3_sign+1,0.510135183567144,1.5,0.3,9.147923721706535,-1.0435526977943084,0.3115808146443553,True,"weighting,loss_aversion",0.21624316754407108,0.8810572028160095,50,5,0.0017014741897583008,1.0,common_norm,0.004857169464230537,0.04903124272823334,0.4143640237833508,0.325217861290952,0.02212451372560455
combined_sae_preference_k3_sign-1,0.49618892743378085,1.5,0.3,9.674037033867668,-1.4672563807747232,0.298071548996667,True,"weighting,loss_aversion",0.2773666463015088,0.06802672892808914,50,70,0.0017222166061401367,1.0,common_norm,0.004857169464230537,0.04903124272823334,,0.3100508564320298,0.00902863233808318
creativity_triple_sign+1,0.5024570038502129,1.490965779417571,0.3,9.532820694784997,-1.306906052290645,0.3017288012564751,True,loss_aversion,0.2475902642659362,0.5622965693473816,50,33,0.0010551214218139648,1.0,common_norm,0.02039952203631401,0.042773496359586716,,0.3153393520933859,0.012212885943633746
creativity_triple_sign-1,0.5041740815708879,1.5,0.3,9.496995454571975,-1.2707107567302407,0.3027015766654079,True,"weighting,loss_aversion",0.2415718936950312,0.5001073479652405,50,30,0.0009386539459228516,1.0,common_norm,0.02039952203631401,0.042773496359586716,,0.31691844397350705,0.009729340433780046
curvature_only_mean_delta_fitted_magnitude,0.5147102138028483,1.2125548747590058,0.4065832650827321,3.9719018101181436,0.38471398831544956,0.1540741516019025,True,,0.15812499471034647,0.9999859929084778,50,0,0.00011952432684791958,8.497543334960938,discovery_fitted_magnitude,0.0952901691198349,0.029362155124545097,0.19336836686829967,0.16372057076820246,0.20454235391245976
curvature_only_mean_delta_sign+1,0.515201121293222,1.493636595797615,0.3,9.048539370722587,-1.0627958558810704,0.3018093957555932,True,loss_aversion,0.2163308155980541,0.9877213835716248,50,0,0.0010625720657451154,1.0,common_norm,0.0952901691198349,0.029362155124545097,0.37193403864068403,0.31539840279431547,0.021630486043034976
curvature_only_mean_delta_sign-1,0.4979976951645563,1.5,0.3,9.593401110139054,-1.4425778535407623,0.30737804609853875,True,"weighting,loss_aversion",0.2716931613067307,0.0033471286296844482,50,80,0.0012124181516419696,1.0,common_norm,0.0952901691198349,0.029362155124545097,,0.31973523490192207,0.022838371989228355
curvature_only_sae_preference_k10_fitted_magnitude,0.4923961274291551,1.4600313430449852,0.3,8.379296280746738,-0.7832121164283173,0.321569170213387,True,loss_aversion,0.21107543812036195,0.9308749437332153,50,1,0.0005723559780179688,1.9925979375839233,discovery_fitted_magnitude,0.03651930391788483,0.060755494982004166,0.3764016683260073,0.3357205556455915,0.08933474693659385
curvature_only_sae_preference_k10_sign+1,0.5047960928829247,1.5,0.3,9.02900813170273,-1.0265487992456734,0.3088998618339527,True,"weighting,loss_aversion",0.22172762599733503,0.8527988791465759,50,7,0.0009003878713116364,1.0,common_norm,0.03651930391788483,0.060755494982004166,0.3773004902401431,0.32267424744645773,0.039858844900626036
curvature_only_sae_preference_k10_sign-1,0.49873910077217987,1.5,0.3,9.640628339747074,-1.4493670429584233,0.3039649813074918,True,"weighting,loss_aversion",0.27257195843215054,0.04015365242958069,50,62,0.0006968975897905239,1.0,common_norm,0.03651930391788483,0.060755494982004166,,0.31648782111257145,0.02233537388883232
curvature_only_sae_preference_k1_fitted_magnitude,0.508650201906402,1.5,0.3,9.471819587700999,-1.223730747891904,0.3035991800248975,True,"weighting,loss_aversion",0.23531739666973028,0.5698280930519104,50,29,0.0011607298271976152,0.996466338634491,discovery_fitted_magnitude,0.007108280435204506,0.047630976885557175,0.38269826814244107,0.3174553367735385,0.015853020580251342
curvature_only_sae_preference_k1_sign+1,0.5093400081103263,1.5,0.3,9.416475584216903,-1.2201208479311392,0.3037054475092664,True,"weighting,loss_aversion",0.23597951805527104,0.5626501441001892,50,27,0.0007409453833666646,1.0,common_norm,0.007108280435204506,0.047630976885557175,0.3824286660015049,0.31745260746601106,0.016741819845632028
curvature_only_sae_preference_k1_sign-1,0.5013391933778805,1.5,0.3,9.530826266526805,-1.3232975478996443,0.30250626301160366,True,"weighting,loss_aversion",0.2486727178122057,0.47174692153930664,50,33,0.0006774068282489054,1.0,common_norm,0.007108280435204506,0.047630976885557175,,0.31666288166977613,0.010552913077438516
curvature_only_sae_preference_k3_fitted_magnitude,0.5024858638084948,1.4989969492828261,0.3,9.342459441693691,-1.2377567973673251,0.2993745130506366,True,"weighting,loss_aversion",0.24264344183303632,0.7318588495254517,50,15,0.0009872852831702694,1.4296152591705322,discovery_fitted_magnitude,0.059979721903800964,0.06067577749490738,0.38331705964614404,0.31234989302630084,0.03192550959101304
curvature_only_sae_preference_k3_sign+1,0.5032071563964341,1.5,0.3,9.449924034329404,-1.2545766747321112,0.3004459399619876,True,"weighting,loss_aversion",0.2431832689421234,0.6797175407409668,50,18,0.0013329387505613965,1.0,common_norm,0.059979721903800964,0.06067577749490738,0.3845840748874539,0.3137057688590357,0.024218256311771668
