condition,curvature,weighting,loss_aversion,inverse_temperature,label_bias,planted_probability_rmse,fit_rmse,min_answer_mass,mean_answer_mass,answer_mass_below_0_95_count,max_relative_norm_error,label_order_gap,full_vocab_excess_ce
baseline,0.5155344839581066,1.5,0.3609983011812192,9.884177871775812,-1.1936725446647534,0.3845544344573532,0.2957971800546285,0.6234183311462402,0.9892541660865148,16,,0.23925097200222883,3.017089751508585
lora_combined_original,0.528299307781537,0.9186388434443974,1.666816637168227,1.8868239656573063,0.10864139668992813,0.13745838497688428,0.10780045676563974,0.9989149570465088,0.9998169372479121,0,,0.09222764690717061,0.056161587147551484
lora_combined_refined,0.539513317772848,0.8889775351729237,1.6844229875518355,2.269575346264786,0.011804570748851245,0.11418726532347209,0.08377293750872562,0.9995816946029663,0.9999549305438995,0,,0.06310152252515157,0.03850761792642865
mean_delta_common_norm,0.5296723647882393,1.5,0.3636261963395467,9.868718714307636,-1.0009403670598966,0.36744740902480527,0.2883770722291663,0.9820582866668701,0.9993972740570705,0,0.0004951954478258358,0.215058637481881,2.1978348671930585
mean_delta_fitted_magnitude,0.5622617077845325,1.0162715158671696,0.890840745105371,4.54903393110825,0.429962932284802,0.1977632042668359,0.14356147445220843,0.9999346733093262,0.9999929861227671,0,0.0001570906654619897,0.14290837684335808,0.1622006673487193
sae_k10_common_norm,0.5222054221126019,1.5,0.37294928424390145,9.790178679847166,-1.174612598783156,0.3817784445275061,0.2958329329049683,0.8756001591682434,0.9962848222255707,8,0.0015215279485616406,0.2323784422128972,2.982045344366688
sae_k10_fitted_magnitude,0.5261077215866374,1.5,0.3820531940253168,9.694185611265494,-1.1638711467679381,0.38015519603208847,0.2959888397461766,0.9099710583686829,0.998310015598933,1,0.0012902418457412246,0.22878101546794766,2.9710628779139427
sae_k1_common_norm,0.5238145193455188,1.5,0.3745746627175122,9.696220736624097,-1.1504747274230127,0.3802979758963713,0.2962249962042081,0.03230839967727661,0.9254723967860142,38,0.0016819238662719727,0.2296334811631496,3.1071953163554036
sae_k1_fitted_magnitude,0.5246194437580571,1.5,0.3751799664997947,9.702891946051146,-1.1530841648288004,0.3800878464774607,0.29600606341248725,0.037396300584077835,0.9251879499852658,38,0.001447349862659264,0.23000971862159428,3.106643310510238
sae_k3_common_norm,0.52205258246445,1.5,0.37137010279086324,9.757980946573081,-1.1732649453050024,0.3818948498202785,0.2962020550287036,0.361178457736969,0.970026594599088,27,0.0006370544813307788,0.23336418319544264,3.041772952384604
sae_k3_fitted_magnitude,0.5236185578437682,1.5,0.3732241418091023,9.724846752416124,-1.1633673135800482,0.38106305597885104,0.2963643611434345,0.2362072765827179,0.9612406103809674,32,0.0008529439582851683,0.23108994394713178,3.0511420458245984
