agent,feature,label,cosine_readout,mean_unit_decoder_projection,mean_absolute_unit_decoder_projection,single_column_coefficient_for_mean_delta,mean_encoder_before,mean_encoder_after,mean_encoder_change,mean_absolute_encoder_change
combined,184,Willing to take risks or make sacrifices for a goal,0.011562482453882694,-0.05063458904623985,0.05063458904623985,-0.041340891271829605,0.0,0.0,0.0,0.0
combined,4237,Executing potentially risky operations that require caution,0.0015462978044524789,-0.11472164839506149,0.11472165584564209,-0.08850756287574768,0.0,0.0,0.0,0.0
combined,31935,Altruistic and selfless behavior or intentions,-0.003823075909167528,-0.19600500166416168,0.19600500166416168,-0.14418816566467285,0.0,0.0,0.0,0.0
combined,13142,Enabling or empowering creative expression and exploration,0.014409718103706837,0.018404215574264526,0.02981054224073887,0.017528071999549866,0.0,0.0,0.0,0.0
combined,20117,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",0.017644446343183517,0.030787162482738495,0.034884124994277954,0.027576209977269173,0.0,0.0,0.0,0.0
combined,4992,Professional innovation and creative problem-solving,0.014106548391282558,-0.087057925760746,0.0870579332113266,-0.07883341610431671,0.0,0.0,0.0,0.0
combined,47380,The assistant should select between provided options,0.030990295112133026,0.23349495232105255,0.23349496722221375,0.20706379413604736,0.5262788534164429,0.6246652603149414,0.09838636964559555,0.09838636964559555
curvature_only,184,Willing to take risks or make sacrifices for a goal,0.011562482453882694,-0.08193093538284302,0.08193092048168182,-0.06689296662807465,0.0,0.0,0.0,0.0
curvature_only,4237,Executing potentially risky operations that require caution,0.0015462978044524789,-0.15951596200466156,0.15951594710350037,-0.12306629866361618,0.0,0.0,0.0,0.0
curvature_only,31935,Altruistic and selfless behavior or intentions,-0.003823075909167528,-0.19305695593357086,0.19305695593357086,-0.14201948046684265,0.0,0.0,0.0,0.0
curvature_only,13142,Enabling or empowering creative expression and exploration,0.014409718103706837,-0.014718996360898018,0.02788499742746353,-0.014018289744853973,0.0,0.0,0.0,0.0
curvature_only,20117,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",0.017644446343183517,0.16978630423545837,0.16978628933429718,0.15207840502262115,0.0,0.0,0.0,0.0
curvature_only,4992,Professional innovation and creative problem-solving,0.014106548391282558,-0.010282614268362522,0.021613938733935356,-0.009311198256909847,0.0,0.0,0.0,0.0
curvature_only,47380,The assistant should select between provided options,0.030990295112133026,0.4434940814971924,0.44349411129951477,0.3932914435863495,0.5262788534164429,0.7135889530181885,0.1873101145029068,0.1873101145029068
weighting_only,184,Willing to take risks or make sacrifices for a goal,0.011562482453882694,-0.0631294995546341,0.06333877146244049,-0.051542431116104126,0.0,0.0,0.0,0.0
weighting_only,4237,Executing potentially risky operations that require caution,0.0015462978044524789,-0.12531079351902008,0.12531079351902008,-0.09667707234621048,0.0,0.0,0.0,0.0
weighting_only,31935,Altruistic and selfless behavior or intentions,-0.003823075909167528,-0.17423059046268463,0.17423062026500702,-0.12817014753818512,0.0,0.0,0.0,0.0
weighting_only,13142,Enabling or empowering creative expression and exploration,0.014409718103706837,-0.05739838257431984,0.057481128722429276,-0.05466589704155922,0.0,0.0,0.0,0.0
weighting_only,20117,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",0.017644446343183517,0.018807243555784225,0.03547285869717598,0.016845738515257835,0.0,0.0,0.0,0.0
weighting_only,4992,Professional innovation and creative problem-solving,0.014106548391282558,0.022880390286445618,0.02547995187342167,0.02071884088218212,0.0,0.0,0.0,0.0
weighting_only,47380,The assistant should select between provided options,0.030990295112133026,0.2415337711572647,0.2415337711572647,0.21419264376163483,0.5262788534164429,0.44166862964630127,-0.08461015671491623,0.08637300878763199
loss_aversion_only,184,Willing to take risks or make sacrifices for a goal,0.011562482453882694,-0.0925678014755249,0.0925678014755249,-0.0755774974822998,0.0,0.0,0.0,0.0
loss_aversion_only,4237,Executing potentially risky operations that require caution,0.0015462978044524789,-0.15807808935642242,0.15807808935642242,-0.12195698171854019,0.0,0.0,0.0,0.0
loss_aversion_only,31935,Altruistic and selfless behavior or intentions,-0.003823075909167528,-0.05270720645785332,0.05270719900727272,-0.038773272186517715,0.0,0.0,0.0,0.0
loss_aversion_only,13142,Enabling or empowering creative expression and exploration,0.014409718103706837,0.05442728102207184,0.055314213037490845,0.05183623731136322,0.0,0.0,0.0,0.0
loss_aversion_only,20117,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",0.017644446343183517,0.07588796317577362,0.07588794827461243,0.06797321140766144,0.0,0.0,0.0,0.0
loss_aversion_only,4992,Professional innovation and creative problem-solving,0.014106548391282558,-0.012016468681395054,0.03097872994840145,-0.010881252586841583,0.0,0.0,0.0,0.0
loss_aversion_only,47380,The assistant should select between provided options,0.030990295112133026,0.36471810936927795,0.36471807956695557,0.3234327733516693,0.5262788534164429,0.688839852809906,0.16256102919578552,0.16256102919578552
combined_refined,184,Willing to take risks or make sacrifices for a goal,0.011562482453882694,-0.0789746418595314,0.078974649310112,-0.0644792839884758,0.0,0.0,0.0,0.0
combined_refined,4237,Executing potentially risky operations that require caution,0.0015462978044524789,-0.1393648386001587,0.13936485350131989,-0.10751974582672119,0.0,0.0,0.0,0.0
combined_refined,31935,Altruistic and selfless behavior or intentions,-0.003823075909167528,-0.17480871081352234,0.17480869591236115,-0.12859542667865753,0.0,0.0,0.0,0.0
combined_refined,13142,Enabling or empowering creative expression and exploration,0.014409718103706837,0.017955182120203972,0.03216538205742836,0.017100414261221886,0.0,0.0,0.0,0.0
combined_refined,20117,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",0.017644446343183517,0.040760040283203125,0.042980216443538666,0.036508966237306595,0.0,0.0,0.0,0.0
combined_refined,4992,Professional innovation and creative problem-solving,0.014106548391282558,-0.11230809986591339,0.11230810731649399,-0.10169816762208939,0.0,0.0,0.0,0.0
combined_refined,47380,The assistant should select between provided options,0.030990295112133026,-0.22018243372440338,0.22018246352672577,-0.195258229970932,0.5262788534164429,0.43424364924430847,-0.09203516691923141,0.09215372055768967
