condition,rmse_to_lora,teacher_probability_rmse,min_answer_mass,dominance_violations,dominance_n,provisional_reproduction
baseline,0.3680534616188367,0.37756185187769664,0.9999982118606567,0,60,False
lora,0.0,0.03436271265540529,0.9999489784240723,0,60,True
raw_all_replace,0.0,0.03436271265540529,0.9999489784240723,0,60,True
raw_all_add,0.0,0.03436271265540529,0.9999489784240723,0,60,True
raw_final_replace,0.11705440128258622,0.12258111787924271,0.9999982714653015,0,60,False
raw_context_replace,0.23924892445005794,0.24995789825419976,0.9999785423278809,0,60,False
mean_final,0.2505253377032085,0.26186664416083383,0.9999983310699463,3,60,False
mean_final_norm1,0.3624113795005695,0.37211509466376935,0.9999982118606567,0,60,False
sae_encoder_all,0.09710927804685636,0.10486906821010242,0.9999825954437256,0,60,False
sae_encoder_final,0.2142372503894003,0.22311335053156112,0.9999978542327881,0,60,False
sae_subspace10_all,0.2732021314896344,0.284860946533008,0.9999983310699463,4,60,False
sae_subspace10_final,0.3390212332133855,0.3498517194591691,0.9999982714653015,6,60,False
sae_subspace30_all,0.13801451798964326,0.15104898109154166,0.9999972581863403,0,60,False
sae_subspace30_final,0.26120672410724527,0.27252306523787645,0.9999982714653015,0,60,False
sae_mean10_final,0.3618730131368297,0.37227978649642424,0.9999983310699463,9,60,False
sae_mean30_final,0.33676242837745923,0.34713539385157555,0.9999983310699463,8,60,False
