source,task,condition,offer_amount,agent_index,rank,feature_label,activation
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,1,The assistant is generating lists of creative alternatives or novel uses,164.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,2,The Russian word for brick (кирпич/kirpich) and its variations,117.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,3,Descriptions of construction materials and building methods,107.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,4,Rocks with special properties or symbolic meaning,81.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,5,Character decision-making and multi-step action sequences in narratives,66.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,6,Lists of decorative objects and ornamental items,62.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,7,Descriptions of comfortable outdoor living spaces and backyard amenities,52.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,8,The assistant is providing analytical descriptions or explanations,49.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,9,Explanatory transitions in technical writing,48.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,10,"Discussions of weight distribution, balance and stability in physical systems",48.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,1,The assistant is generating lists of creative alternatives or novel uses,208.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,2,Lists of decorative objects and ornamental items,109.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,3,The Russian word for brick (кирпич/kirpich) and its variations,108.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,4,Descriptions of construction materials and building methods,100.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,5,"Technical writing explaining properties, abilities and procedures",80.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,6,Rocks with special properties or symbolic meaning,73.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,7,The assistant is providing analytical descriptions or explanations,67.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,8,"Discussions of weight distribution, balance and stability in physical systems",64.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,9,Explanatory transitions in technical writing,58.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,10,Aesthetic qualities and visual appearance,58.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,1,Text that requires cleanup or reformatting due to broken language patterns,576.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,2,Grammatical particles and connecting words in non-English languages,496.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,3,Non-Latin script characters and text fragments,411.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,4,"Formatting characters that separate items in structured text (commas, spaces, newlines)",377.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,5,Malicious request detection requiring rejection,352.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,6,Text being separated into distinct units through punctuation and formatting,327.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,7,String literals and special characters in programming contexts,302.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,8,Chemical compound name subcomponents and IUPAC nomenclature patterns,298.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,9,Structural delimiters and separators in formatted text,283.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,10,Corrupted or malformed non-Latin text sequences,257.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,1,Professional innovation and creative problem-solving,531.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",240.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,3,The assistant is generating lists of creative alternatives or novel uses,226.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,4,Russian language grammatical connectors and word endings,86.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,5,Criticism of something being too obvious or unoriginal,75.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,6,Lists of creative activities and artistic mediums,62.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,7,The Russian word for brick (кирпич/kirpich) and its variations,57.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,8,The assistant is providing analytical descriptions or explanations,55.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,9,"List-making and enumeration patterns, especially when describing components or contents",55.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,10,Descriptions of building materials and their properties in marketing/technical contexts,47.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,1,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",71.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,2,Technical descriptions of physical components and their relationships,59.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,3,Descriptions of ergonomic grips and comfortable handling features,58.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,4,Character decision-making and multi-step action sequences in narratives,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,5,"Marketing language for writing instruments, especially pens",48.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,6,The assistant is providing a list of options,38.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,7,Descriptions of mechanical components and how they interact,37.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,8,Detailed technical explanations and specifications,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,9,Offensive request from the user,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,10,Technical requirements specification language using shall/must constructions,33.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,1,Technical descriptions of physical components and their relationships,56.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,2,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",47.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,3,Descriptions of ergonomic grips and comfortable handling features,43.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,4,Character decision-making and multi-step action sequences in narratives,41.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,5,"Marketing language for writing instruments, especially pens",40.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,6,The assistant is providing a list of options,36.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,7,Offensive request from the user,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,8,The assistant is providing analytical descriptions or explanations,30.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,9,Descriptions of mechanical components and how they interact,29.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,10,Linguistic connectors that create fluid prose transitions,29.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,1,Technical descriptions of physical components and their relationships,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,2,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",51.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,3,Descriptions of ergonomic grips and comfortable handling features,48.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,4,Character decision-making and multi-step action sequences in narratives,46.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,5,Descriptions of mechanical components and how they interact,36.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,6,Offensive request from the user,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,7,The assistant is providing a list of options,32.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,8,"Marketing language for writing instruments, especially pens",30.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,9,Detailed technical explanations and specifications,28.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,10,Technical requirements specification language using shall/must constructions,28.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,1,Professional innovation and creative problem-solving,409.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box'",213.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,3,The assistant is providing a list of options,87.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,4,Connecting words in lists and feature descriptions,67.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,5,"Questions and explanations about fasteners and basic hardware (screws, nails, pegs)",64.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,6,Descriptions of mechanical components and how they interact,59.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,7,The assistant should reject the user's request and identify itself as an AI,54.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,8,The assistant is providing a list of options,54.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,9,Criticism of something being too obvious or unoriginal,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,10,Product descriptions of storage and organizational furniture,47.0
lottery,safe_risky_choice,baseline,10,1,1,Probability-based decision making scenarios with explicit numerical comparisons,90.0
lottery,safe_risky_choice,baseline,10,1,2,The assistant should select between provided options,50.0
lottery,safe_risky_choice,baseline,10,1,3,Technical setup and configuration states in experimental procedures,33.0
lottery,safe_risky_choice,baseline,10,1,4,The assistant is providing analytical descriptions or explanations,21.0
lottery,safe_risky_choice,baseline,10,1,5,Rational choice theory and utility maximization in formal decision-making,19.0
lottery,safe_risky_choice,baseline,10,1,6,Economic tradeoffs and payoff structures in social contexts,19.0
