source,task,condition,offer_amount,agent_index,rank,feature_label,activation
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,1,ideas for creative generation,164.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,2,"Russian, Czech, or Slovak words",117.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,3,material or type descriptions,107.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,4,"amulets, stones, artifacts grant powers",81.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,5,thought and action sequences,66.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,6,ornaments and decorations,62.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,7,outdoor spaces and items,52.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,8,an explanation or assistant,49.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,9,"phrases that signal instructional or technical/documentation context, such as introducing examples, metadata, or step-by-step guidance.",48.0
product_innovation_folder,detailed_ways_to_use_a_brick,baseline,,,10,stance and weight distribution,48.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,1,ideas for creative generation,208.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,2,ornaments and decorations,109.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,3,"Russian, Czech, or Slovak words",108.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,4,material or type descriptions,100.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,5,technical writer documentation,80.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,6,"amulets, stones, artifacts grant powers",73.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,7,an explanation or assistant,67.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,8,stance and weight distribution,64.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,9,"phrases that signal instructional or technical/documentation context, such as introducing examples, metadata, or step-by-step guidance.",58.0
product_innovation_folder,detailed_ways_to_use_a_brick,prompting,,,10,qualities of look and design,58.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,1,special characters or unknown language,576.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,2,multi-language connecting words,496.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,3,Non-Latin text components,411.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,4,"formatting and structural markers—such as placeholders, special header tokens, tabs, and sentence-ending punctuation.",377.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,5,declining harmful requests,352.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,6,"structural formatting and metadata markers indicating headers, section titles, punctuation boundaries, and newline separators.",327.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,7,special characters and programming terms,302.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,8,chemical nomenclature patterns,298.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,9,structured text separators,283.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_temperature,,,10,garbled non-latin characters,257.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,1,creative in thinking,531.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,2,creative and innovative thinking,240.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,3,ideas for creative generation,226.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,4,Russian word endings and grammatical suffixes,86.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,5,a possible criticism or quote,75.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,6,creative works and artists,62.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,7,"Russian, Czech, or Slovak words",57.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,8,an explanation or assistant,55.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,9,lists and enumeration,55.0
product_innovation_folder,detailed_ways_to_use_a_brick,high_steering,,,10,material or type descriptions,47.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,1,hardware and fasteners,71.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,2,technical components and their descriptions,59.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,3,ergonomic handle or grip,58.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,4,thought and action sequences,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,5,printed on packaging or device,48.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,6,options from a list,38.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,7,technical components and their descriptions,37.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,8,detailed descriptions,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,9,inappropriate requests,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,baseline,,,10,technical requirements can be written,33.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,1,technical components and their descriptions,56.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,2,hardware and fasteners,47.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,3,ergonomic handle or grip,43.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,4,thought and action sequences,41.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,5,printed on packaging or device,40.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,6,options from a list,36.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,7,inappropriate requests,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,8,an explanation or assistant,30.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,9,technical components and their descriptions,29.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,prompting,,,10,words and phrases connector,29.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,1,technical components and their descriptions,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,2,hardware and fasteners,51.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,3,ergonomic handle or grip,48.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,4,thought and action sequences,46.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,5,technical components and their descriptions,36.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,6,inappropriate requests,34.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,7,options from a list,32.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,8,printed on packaging or device,30.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,9,detailed descriptions,28.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_temperature,,,10,technical requirements can be written,28.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,1,creative in thinking,409.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,2,creative and innovative thinking,213.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,3,options from a list,87.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,4,connecting related concepts in lists,67.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,5,hardware and fasteners,64.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,6,technical components and their descriptions,59.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,7,"Dear user, assistant, please",54.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,8,options from a list,54.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,9,a possible criticism or quote,52.0
product_innovation_folder,improve_the_stapler_with_many_specific_enhancements,high_steering,,,10,adjustable legs for storage,47.0
lottery,safe_risky_choice,baseline,10.0,1.0,1,predicting uncertain outcomes,90.0
lottery,safe_risky_choice,baseline,10.0,1.0,2,choose between options,50.0
lottery,safe_risky_choice,baseline,10.0,1.0,3,programming setup and parameters,33.0
lottery,safe_risky_choice,baseline,10.0,1.0,4,an explanation or assistant,21.0
lottery,safe_risky_choice,baseline,10.0,1.0,5,to make rational decisions,19.0
lottery,safe_risky_choice,baseline,10.0,1.0,6,balance and trade-offs,19.0
lottery,safe_risky_choice,baseline,10.0,1.0,7,providing helpful responses and assistance,18.0
lottery,safe_risky_choice,baseline,10.0,1.0,8,"structural formatting and metadata markers indicating headers, section titles, punctuation boundaries, and newline separators.",17.0
lottery,safe_risky_choice,baseline,10.0,1.0,9,This introduces explanation or possibility,15.0
lottery,safe_risky_choice,baseline,10.0,1.0,10,scheduling and creating lists,14.0
lottery,safe_risky_choice,baseline,10.0,2.0,1,predicting uncertain outcomes,90.0
lottery,safe_risky_choice,baseline,10.0,2.0,2,choose between options,50.0
