layer,game,reference,direction,cosine,abs_cosine,null_scale,multiples_of_null,perm_null_mean,perm_null_p95,clears_perm_null,perm_n,d,n_levels,offer_probe_train_accuracy
48,ultimatum,offer_probe,diffmean,0.40453,0.40453,0.01105,36.61,45.22,57.93,False,200,8192,19,1.0
48,ultimatum,offer_probe,pca1,0.2574,0.2574,0.01105,23.3,2.58,6.26,True,200,8192,19,1.0
48,ultimatum,offer_probe,ridge_logn,0.36784,0.36784,0.01105,33.29,68.56,80.48,False,200,8192,19,1.0
48,ultimatum,offer_probe,rand0,-0.00882,0.00882,0.01105,0.8,0.82,1.96,False,200,8192,19,1.0
48,ultimatum,offer_probe,rand1,0.01097,0.01097,0.01105,0.99,0.83,1.98,False,200,8192,19,1.0
48,ultimatum,offer_probe,readout_gradient,-0.01176,0.01176,0.01105,1.06,1.05,2.45,False,200,8192,19,1.0
50,ultimatum,offer_probe,diffmean,0.38555,0.38555,0.01105,34.9,44.85,56.6,False,200,8192,19,1.0
50,ultimatum,offer_probe,pca1,0.2409,0.2409,0.01105,21.8,2.63,6.21,True,200,8192,19,1.0
50,ultimatum,offer_probe,ridge_logn,0.35686,0.35686,0.01105,32.3,68.57,80.11,False,200,8192,19,1.0
50,ultimatum,offer_probe,rand0,-0.00787,0.00787,0.01105,0.71,0.82,1.83,False,200,8192,19,1.0
50,ultimatum,offer_probe,rand1,-0.01406,0.01406,0.01105,1.27,0.83,1.97,False,200,8192,19,1.0
50,ultimatum,offer_probe,readout_gradient,-0.00523,0.00523,0.01105,0.47,0.98,2.24,False,200,8192,19,1.0
