variant,layer,game,a,b,cosine,abs_cosine,null_scale,multiples_of_null,d,gradient_source,duplicate_to_reconcile
as_written,48,lottery,probe,reward,-0.13253,0.13253,0.01105,12.0,8192,,False
as_written,48,lottery,probe,rand0,-0.00849,0.00849,0.01105,0.77,8192,,False
as_written,48,lottery,probe,rand1,0.00578,0.00578,0.01105,0.52,8192,,False
as_written,48,lottery,probe,gradient,0.01088,0.01088,0.01105,0.98,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,probe,gradient_both_orders,0.01037,0.01037,0.01105,0.94,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,reward,rand0,0.00536,0.00536,0.01105,0.49,8192,,False
as_written,48,lottery,reward,rand1,0.00179,0.00179,0.01105,0.16,8192,,False
as_written,48,lottery,reward,gradient,0.00031,0.00031,0.01105,0.03,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,reward,gradient_both_orders,0.00712,0.00712,0.01105,0.64,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,rand0,rand1,-0.00372,0.00372,0.01105,0.34,8192,,False
as_written,48,lottery,rand0,gradient,0.01631,0.01631,0.01105,1.48,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,rand0,gradient_both_orders,-0.00229,0.00229,0.01105,0.21,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,rand1,gradient,0.00251,0.00251,0.01105,0.23,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,rand1,gradient_both_orders,0.01184,0.01184,0.01105,1.07,8192,cv_bench/g4b.py friday-session,True
as_written,48,lottery,gradient,gradient_both_orders,0.63776,0.63776,0.01105,57.72,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,probe,reward,0.26084,0.26084,0.01105,23.61,8192,,False
as_written,48,ultimatum,probe,rand0,0.0103,0.0103,0.01105,0.93,8192,,False
as_written,48,ultimatum,probe,rand1,0.01089,0.01089,0.01105,0.99,8192,,False
as_written,48,ultimatum,probe,gradient,-0.00125,0.00125,0.01105,0.11,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,probe,gradient_both_orders,-0.00236,0.00236,0.01105,0.21,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,reward,rand0,0.01368,0.01368,0.01105,1.24,8192,,False
as_written,48,ultimatum,reward,rand1,-0.00768,0.00768,0.01105,0.7,8192,,False
as_written,48,ultimatum,reward,gradient,-0.01207,0.01207,0.01105,1.09,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,reward,gradient_both_orders,-0.00506,0.00506,0.01105,0.46,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,rand0,rand1,0.00861,0.00861,0.01105,0.78,8192,,False
as_written,48,ultimatum,rand0,gradient,0.01646,0.01646,0.01105,1.49,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,rand0,gradient_both_orders,0.02451,0.02451,0.01105,2.22,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,rand1,gradient,0.01461,0.01461,0.01105,1.32,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,rand1,gradient_both_orders,0.00184,0.00184,0.01105,0.17,8192,cv_bench/g4b.py friday-session,True
as_written,48,ultimatum,gradient,gradient_both_orders,0.51317,0.51317,0.01105,46.45,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,probe,reward,0.16001,0.16001,0.01105,14.48,8192,,False
as_written,50,lottery,probe,rand0,0.0098,0.0098,0.01105,0.89,8192,,False
as_written,50,lottery,probe,rand1,-0.01456,0.01456,0.01105,1.32,8192,,False
as_written,50,lottery,probe,gradient,0.01931,0.01931,0.01105,1.75,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,probe,gradient_both_orders,0.00575,0.00575,0.01105,0.52,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,reward,rand0,-0.0364,0.0364,0.01105,3.29,8192,,False
as_written,50,lottery,reward,rand1,-0.00047,0.00047,0.01105,0.04,8192,,False
as_written,50,lottery,reward,gradient,-0.00062,0.00062,0.01105,0.06,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,reward,gradient_both_orders,0.00409,0.00409,0.01105,0.37,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,rand0,rand1,0.00878,0.00878,0.01105,0.79,8192,,False
as_written,50,lottery,rand0,gradient,0.00748,0.00748,0.01105,0.68,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,rand0,gradient_both_orders,0.01456,0.01456,0.01105,1.32,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,rand1,gradient,0.01013,0.01013,0.01105,0.92,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,rand1,gradient_both_orders,0.00536,0.00536,0.01105,0.49,8192,cv_bench/g4b.py friday-session,True
as_written,50,lottery,gradient,gradient_both_orders,0.64242,0.64242,0.01105,58.15,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,probe,reward,0.30643,0.30643,0.01105,27.74,8192,,False
as_written,50,ultimatum,probe,rand0,0.02127,0.02127,0.01105,1.93,8192,,False
as_written,50,ultimatum,probe,rand1,-0.01456,0.01456,0.01105,1.32,8192,,False
as_written,50,ultimatum,probe,gradient,-0.04043,0.04043,0.01105,3.66,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,probe,gradient_both_orders,-0.03313,0.03313,0.01105,3.0,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,reward,rand0,0.00074,0.00074,0.01105,0.07,8192,,False
as_written,50,ultimatum,reward,rand1,-0.02311,0.02311,0.01105,2.09,8192,,False
as_written,50,ultimatum,reward,gradient,-0.01513,0.01513,0.01105,1.37,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,reward,gradient_both_orders,-0.0125,0.0125,0.01105,1.13,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,rand0,rand1,0.00984,0.00984,0.01105,0.89,8192,,False
as_written,50,ultimatum,rand0,gradient,-0.02061,0.02061,0.01105,1.87,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,rand0,gradient_both_orders,-0.002,0.002,0.01105,0.18,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,rand1,gradient,-0.0022,0.0022,0.01105,0.2,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,rand1,gradient_both_orders,-0.00755,0.00755,0.01105,0.68,8192,cv_bench/g4b.py friday-session,True
as_written,50,ultimatum,gradient,gradient_both_orders,0.51429,0.51429,0.01105,46.55,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,probe,reward,-0.05381,0.05381,0.01105,4.87,8192,,False
reconstruction,48,lottery,probe,diffmean,0.18769,0.18769,0.01105,16.99,8192,,False
reconstruction,48,lottery,probe,pca1,0.10076,0.10076,0.01105,9.12,8192,,False
reconstruction,48,lottery,probe,ridge_logn,0.11312,0.11312,0.01105,10.24,8192,,False
reconstruction,48,lottery,probe,rand0,-0.00388,0.00388,0.01105,0.35,8192,,False
reconstruction,48,lottery,probe,rand1,0.01933,0.01933,0.01105,1.75,8192,,False
reconstruction,48,lottery,probe,gradient,0.02869,0.02869,0.01105,2.6,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,probe,gradient_both_orders,0.01312,0.01312,0.01105,1.19,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,reward,diffmean,0.26929,0.26929,0.01105,24.37,8192,,False
reconstruction,48,lottery,reward,pca1,0.15155,0.15155,0.01105,13.72,8192,,False
reconstruction,48,lottery,reward,ridge_logn,0.12655,0.12655,0.01105,11.45,8192,,False
reconstruction,48,lottery,reward,rand0,-0.01688,0.01688,0.01105,1.53,8192,,False
reconstruction,48,lottery,reward,rand1,0.01149,0.01149,0.01105,1.04,8192,,False
reconstruction,48,lottery,reward,gradient,0.00333,0.00333,0.01105,0.3,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,reward,gradient_both_orders,-0.01834,0.01834,0.01105,1.66,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,diffmean,pca1,0.95042,0.95042,0.01105,86.02,8192,,False
reconstruction,48,lottery,diffmean,ridge_logn,0.30239,0.30239,0.01105,27.37,8192,,False
reconstruction,48,lottery,diffmean,rand0,-0.00621,0.00621,0.01105,0.56,8192,,False
reconstruction,48,lottery,diffmean,rand1,-0.00387,0.00387,0.01105,0.35,8192,,False
reconstruction,48,lottery,diffmean,gradient,0.05145,0.05145,0.01105,4.66,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,diffmean,gradient_both_orders,0.00665,0.00665,0.01105,0.6,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,pca1,ridge_logn,0.22152,0.22152,0.01105,20.05,8192,,False
reconstruction,48,lottery,pca1,rand0,-0.00306,0.00306,0.01105,0.28,8192,,False
reconstruction,48,lottery,pca1,rand1,-0.00166,0.00166,0.01105,0.15,8192,,False
reconstruction,48,lottery,pca1,gradient,0.04307,0.04307,0.01105,3.9,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,pca1,gradient_both_orders,0.00785,0.00785,0.01105,0.71,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,ridge_logn,rand0,-0.00875,0.00875,0.01105,0.79,8192,,False
reconstruction,48,lottery,ridge_logn,rand1,-0.00787,0.00787,0.01105,0.71,8192,,False
reconstruction,48,lottery,ridge_logn,gradient,0.01341,0.01341,0.01105,1.21,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,ridge_logn,gradient_both_orders,0.00159,0.00159,0.01105,0.14,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,rand0,rand1,-0.00372,0.00372,0.01105,0.34,8192,,False
reconstruction,48,lottery,rand0,gradient,0.01631,0.01631,0.01105,1.48,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,rand0,gradient_both_orders,-0.00229,0.00229,0.01105,0.21,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,rand1,gradient,0.00251,0.00251,0.01105,0.23,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,rand1,gradient_both_orders,0.01184,0.01184,0.01105,1.07,8192,cv_bench/g4b.py friday-session,True
reconstruction,48,lottery,gradient,gradient_both_orders,0.63776,0.63776,0.01105,57.72,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,probe,reward,-0.07552,0.07552,0.01105,6.83,8192,,False
reconstruction,50,lottery,probe,diffmean,0.19195,0.19195,0.01105,17.37,8192,,False
reconstruction,50,lottery,probe,pca1,0.10875,0.10875,0.01105,9.84,8192,,False
reconstruction,50,lottery,probe,ridge_logn,0.09627,0.09627,0.01105,8.71,8192,,False
reconstruction,50,lottery,probe,rand0,0.00108,0.00108,0.01105,0.1,8192,,False
reconstruction,50,lottery,probe,rand1,0.00389,0.00389,0.01105,0.35,8192,,False
reconstruction,50,lottery,probe,gradient,0.03123,0.03123,0.01105,2.83,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,probe,gradient_both_orders,0.0056,0.0056,0.01105,0.51,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,reward,diffmean,0.26431,0.26431,0.01105,23.92,8192,,False
reconstruction,50,lottery,reward,pca1,0.15559,0.15559,0.01105,14.08,8192,,False
reconstruction,50,lottery,reward,ridge_logn,0.13931,0.13931,0.01105,12.61,8192,,False
reconstruction,50,lottery,reward,rand0,-0.00601,0.00601,0.01105,0.54,8192,,False
reconstruction,50,lottery,reward,rand1,0.01603,0.01603,0.01105,1.45,8192,,False
reconstruction,50,lottery,reward,gradient,0.00386,0.00386,0.01105,0.35,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,reward,gradient_both_orders,-0.02793,0.02793,0.01105,2.53,8192,cv_bench/g4b.py friday-session,True
reconstruction,50,lottery,diffmean,pca1,0.95245,0.95245,0.01105,86.21,8192,,False
reconstruction,50,lottery,diffmean,ridge_logn,0.268,0.268,0.01105,24.26,8192,,False
