stack,game,condition,rho,crosses_half_on_grid,n_trials,switching_point_interp,switching_point_logistic,ci_lo,ci_hi,p_positive_at_grid_min,p_positive_at_grid_max,same_stack_baseline_switching_point
vllm,lottery,baseline_rp,,True,1400,102.8571,106.7519,99.7909,116.3129,0.0,0.975,102.8571
vllm,lottery,persona,,True,1400,97.2973,94.25,85.1765,101.1986,0.0,1.0,102.8571
vllm,lottery,cot,,True,1400,140.0,175.7213,160.1333,191.774,0.0,0.35,102.8571
vllm,lottery,fewshot,,True,1400,100.8333,100.617,95.588,105.2048,0.0,1.0,102.8571
vllm,lottery,fewshot_cot_dose000,0.0,False,1400,,,,,0.0,0.1,102.8571
vllm,lottery,fewshot_cot_dose025,0.25,True,1400,101.1905,101.625,98.3193,105.8049,0.0,1.0,102.8571
vllm,lottery,fewshot_cot_dose050,0.5,True,1400,97.3438,96.0,87.938,100.9526,0.0,1.0,102.8571
vllm,lottery,fewshot_cot_dose075,0.75,True,1400,99.7222,99.1251,93.6371,102.0043,0.0,1.0,102.8571
vllm,lottery,fewshot_cot_dose100,1.0,True,1400,101.5385,100.0,92.9191,103.9665,0.0,1.0,102.8571
vllm,ultimatum,baseline_rp,,False,680,,,,,0.775,0.85,
vllm,ultimatum,persona,,False,680,,,,,1.0,0.975,
vllm,ultimatum,cot,,False,680,,,,,0.575,1.0,
vllm,ultimatum,fewshot,,True,680,12.2222,12.5637,9.4336,15.7965,0.3,1.0,
vllm,ultimatum,fewshot_cot_dose000,0.0,True,680,40.0,48.1169,39.242,59.5449,0.0,0.725,
vllm,ultimatum,fewshot_cot_dose025,0.25,True,680,37.5,38.6918,32.3143,46.4615,0.0,0.85,
vllm,ultimatum,fewshot_cot_dose050,0.5,True,680,37.6562,37.1246,33.6781,41.1919,0.0,1.0,
vllm,ultimatum,fewshot_cot_dose075,0.75,True,680,37.5926,37.8655,33.0153,43.5523,0.0,0.925,
vllm,ultimatum,fewshot_cot_dose100,1.0,True,680,10.7143,10.4691,7.9425,18.5434,0.45,1.0,
